Date,Code,Name,Close,Marcap,Stocks,Naver_Close,Institution_Net_Volume,Foreign_Net_Volume,Institution_Net_Est_Value,Foreign_Net_Est_Value,Basket,KOSPI_Marcap,KOSPI_Share_Pct
2026-06-17,015760,한국전력,40500.0,25999545118500.0,641964077,40500.0,334461.0,-691370.0,13545670500.0,-28000485000.0,생활소비재,7253100053919732.0,0.35846113972258364
2026-06-17,033780,KT&G,187200.0,19433317363200.0,103810456,187200.0,-4077.0,16186.0,-763214400.0,3030019200.0,생활소비재,7253100053919732.0,0.2679311910594397
2026-06-17,090430,아모레퍼시픽,109900.0,6428354214100.0,58492759,109900.0,-54362.0,20069.0,-5974383800.0,2205583100.0,생활소비재,7253100053919732.0,0.0886290574555907
2026-06-17,278470,에이피알,408500.0,15293486317500.0,37438155,408500.0,-3379.0,16711.0,-1380321500.0,6826443500.0,생활소비재,7253100053919732.0,0.2108544788270923
2026-06-18,024110,기업은행,21850.0,17423755237650.0,797425869,21850.0,17715.0,82602.0,387072750.0,1804853700.0,금융,7413247265338499.0,0.23503539830806394
2026-06-18,032830,삼성생명,469000.0,93800000000000.0,200000000,469000.0,80650.0,-56474.0,37824850000.0,-26486306000.0,금융,7413247265338499.0,1.265302459808306
2026-06-18,055550,신한지주,100800.0,47845159588800.0,474654361,100800.0,-178194.0,154966.0,-17961955200.0,15620572800.0,금융,7413247265338499.0,0.64540083281055
2026-06-18,086790,하나금융지주,126100.0,34597773022800.0,274367748,126100.0,-161450.0,210375.0,-20358845000.0,26528287500.0,금융,7413247265338499.0,0.46670199690445935
2026-06-18,105560,KB금융,163100.0,57849569415400.0,354687734,163100.0,-276000.0,204913.0,-45015600000.0,33421310300.0,금융,7413247265338499.0,0.7803539710038057
2026-06-18,316140,우리금융지주,31550.0,23160107896000.0,734076320,31550.0,-170257.0,247542.0,-5371608350.0,7809950100.0,금융,7413247265338499.0,0.3124151544801127
2026-06-18,000660,SK하이닉스,2685000.0,1913605850025000.0,712702365,2685000.0,38559.0,25375.0,103530915000.0,68131875000.0,반도체,7413247265338499.0,25.8133282424328
2026-06-18,005930,삼성전자,362500.0,2119275995400000.0,5846278608,362500.0,1943262.0,2424675.0,704432475000.0,878944687500.0,반도체,7413247265338499.0,28.587687953009766
2026-06-18,003230,삼양식품,1111000.0,8369179665000.0,7533015,1111000.0,-6532.0,-2814.0,-7257052000.0,-3126354000.0,생활소비재,7413247265338499.0,0.11289492128680335
2026-06-18,015760,한국전력,39350.0,25261286429950.0,641964077,39350.0,-664404.0,643744.0,-26144297400.0,25331326400.0,생활소비재,7413247265338499.0,0.3407587191656494
2026-06-18,033780,KT&G,180400.0,18727406262400.0,103810456,180400.0,-52305.0,3192.0,-9435822000.0,575836800.0,생활소비재,7413247265338499.0,0.2526208231305351
2026-06-18,090430,아모레퍼시픽,106300.0,6217780281700.0,58492759,106300.0,-85725.0,-29026.0,-9112567500.0,-3085463800.0,생활소비재,7413247265338499.0,0.0838739092215628
