Date,Code,Naver_Close,Institution_Net_Volume,Foreign_Net_Volume,Name,Stocks,Marcap,Close,Latest_Name,Latest_Stocks,Basket,Foreign_Net_Est_Value,Institution_Net_Est_Value
2026-06-05,090430,107500.0,-49249.0,-30902.0,아모레퍼시픽,58492759.0,6287971592500.0,107500.0,아모레퍼시픽,58492759,생활소비재,-3321965000.0,-5294267500.0
2026-06-05,278470,389000.0,-11819.0,-6396.0,에이피알,37438155.0,14563442295000.0,389000.0,에이피알,37438155,생활소비재,-2488044000.0,-4597591000.0
2026-06-08,024110,20250.0,-272527.0,145022.0,기업은행,797425869.0,16147873847250.0,20250.0,기업은행,797425869,금융,2936695500.0,-5518671750.0
2026-06-08,032830,375500.0,19349.0,-10013.0,삼성생명,200000000.0,75100000000000.0,375500.0,삼성생명,200000000,금융,-3759881500.0,7265549500.0
2026-06-08,055550,97100.0,69903.0,-263872.0,신한지주,474654361.0,46088938453100.0,97100.0,신한지주,469450239,금융,-25621971200.0,6787581300.0
2026-06-08,086790,112400.0,-163570.0,-18049.0,하나금융지주,274367748.0,30838934875200.0,112400.0,하나금융지주,274367748,금융,-2028707600.0,-18385268000.0
2026-06-08,105560,151500.0,-361360.0,-2958.0,KB금융,372850455.0,56486843932500.0,151500.0,KB금융,354687734,금융,-448137000.0,-54746040000.0
2026-06-08,316140,28850.0,-530627.0,-490020.0,우리금융지주,734076320.0,21178101832000.0,28850.0,우리금융지주,728089682,금융,-14137077000.0,-15308588950.0
2026-06-08,000660,1911000.0,-86029.0,-154732.0,SK하이닉스,712702365.0,1361974219515000.0,1911000.0,SK하이닉스,730492365,반도체,-295692852000.0,-164401419000.0
2026-06-08,005930,295500.0,-3937194.0,-1174306.0,삼성전자,5846278608.0,1727575328664000.0,295500.0,삼성전자,5846278608,반도체,-347007423000.0,-1163440827000.0
2026-06-08,003230,1069000.0,-776.0,-2184.0,삼양식품,7533015.0,8052793035000.0,1069000.0,삼양식품,7533015,생활소비재,-2334696000.0,-829544000.0
2026-06-08,015760,36000.0,30285.0,327676.0,한국전력,641964077.0,23110706772000.0,36000.0,한국전력,641964077,생활소비재,11796336000.0,1090260000.0
2026-06-08,033780,177200.0,49778.0,-45583.0,KT&G,103810456.0,18395212803200.0,177200.0,KT&G,103810456,생활소비재,-8077307600.0,8820661600.0
